position,code,designer,name,fragrantica_reference,perfumoteca_lookup_key,status,confidence,review_notes
71,CP02130,CAROLINA HERRERA,CH MEN AFRICA,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+CH+MEN+AFRICA,CP02130,review,medium,
72,CP02386,CAROLINA HERRERA,CH MEN HOT! HOT! HOT!,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+CH+MEN+HOT%21+HOT%21+HOT%21,CP02386,review,medium,
73,CP02151,CAROLINA HERRERA,CH MEN PRIVE,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+CH+MEN+PRIVE,CP02151,review,medium,
74,CP00774,CAROLINA HERRERA,CHIC FOR MEN,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+CHIC+FOR+MEN,CP00774,review,medium,
75,CP00844,CAROLINA HERRERA,HERRERA FOR MEN,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+HERRERA+FOR+MEN,CP00844,review,medium,
76,CP02126,CAROLINA HERRERA,VIP MEN CLUB EDITION,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+VIP+MEN+CLUB+EDITION,CP02126,review,low,Edición limitada Club Edition; mantener en review para cotejo puntual por clave.
77,CP00788,CARTIER,DECLARATION,https://www.fragrantica.com/search/?query=CARTIER+DECLARATION,CP00788,review,medium,
78,CP00915,CARTIER,PASHA CARTIER,https://www.fragrantica.com/search/?query=CARTIER+PASHA+CARTIER,CP00915,review,medium,
79,CP00940,CARTIER,SANTOS DE CARTIER,https://www.fragrantica.com/search/?query=CARTIER+SANTOS+DE+CARTIER,CP00940,review,medium,
80,CP00718,CHANEL,ALLURE HOMME,https://www.fragrantica.com/search/?query=CHANEL+ALLURE+HOMME,CP00718,review,medium,
81,CP00719,CHANEL,ALLURE HOMME SPORT,https://www.fragrantica.com/search/?query=CHANEL+ALLURE+HOMME+SPORT,CP00719,review,medium,
82,CP02884,CHANEL,ALLURE HOMME SPORT SUPERLEGGERA,https://www.fragrantica.com/search/?query=CHANEL+ALLURE+HOMME+SPORT+SUPERLEGGERA,CP02884,review,low,Lanzamiento reciente Superleggera; mantener en review por pirámide minimalista y posibles variaciones de publicación.
83,CP00724,CHANEL,ANTAEUS,https://www.fragrantica.com/search/?query=CHANEL+ANTAEUS,CP00724,review,medium,
84,CP01059,CHANEL,BLEU DE CHANEL EAU DE PARFUM,https://www.fragrantica.com/search/?query=CHANEL+BLEU+DE+CHANEL+EAU+DE+PARFUM,CP01059,review,medium,
85,CP00803,CHANEL,EGOISTE PLATINUM,https://www.fragrantica.com/search/?query=CHANEL+EGOISTE+PLATINUM,CP00803,review,medium,
86,CP00840,CLINIQUE,CLINIQUE HAPPY,https://www.fragrantica.com/search/?query=CLINIQUE+CLINIQUE+HAPPY,CP00840,review,medium,
87,CP02355,COACH,COACH BLUE,https://www.fragrantica.com/search/?query=COACH+COACH+BLUE,CP02355,review,medium,
88,CP02441,CR7,CR7 FEARLESS,https://www.fragrantica.com/search/?query=CR7+CR7+FEARLESS,CP02441,review,low,
89,CP02261,CR7,CR7 PLAY IT COOL,https://www.fragrantica.com/search/?query=CR7+CR7+PLAY+IT+COOL,CP02261,review,low,
90,CP02138,CR7,LEGACY,https://www.fragrantica.com/search/?query=CR7+LEGACY,CP02138,review,low,La imagen corresponde a Legacy original; no confundir con Legacy EDP 2025.
91,CP02471,CREED,ABSOLU AVENTUS 2023,https://www.fragrantica.com/search/?query=CREED+ABSOLU+AVENTUS+2023,CP02471,review,medium,
92,CP02269,CREED,AVENTUS,https://www.fragrantica.com/search/?query=CREED+AVENTUS,CP02269,review,medium,
93,CP02387,CREED,GREEN IRISH TWEED,https://www.fragrantica.com/search/?query=CREED+GREEN+IRISH+TWEED,CP02387,review,medium,
94,CP02326,CREED,MILLÉSIME IMPÉRIAL,https://www.fragrantica.com/search/?query=CREED+MILL%C3%89SIME+IMP%C3%89RIAL,CP02326,review,medium,
95,CP02327,CREED,VIKING,https://www.fragrantica.com/search/?query=CREED+VIKING,CP02327,review,medium,
96,CP02288,DAVID BECKHAM,URBAN HOMME,https://www.fragrantica.com/search/?query=DAVID+BECKHAM+URBAN+HOMME,CP02288,review,low,
97,CP02496,DAVIDOFF,COOL WATER  REBORN EAU DE PARFUM,https://www.fragrantica.com/search/?query=DAVIDOFF+COOL+WATER++REBORN+EAU+DE+PARFUM,CP02496,review,medium,
98,CP00783,DAVIDOFF,COOL WATER PARA HOMBRES,https://www.fragrantica.com/search/?query=DAVIDOFF+COOL+WATER+PARA+HOMBRES,CP00783,review,medium,
99,CP00802,DAVIDOFF,ECHO,https://www.fragrantica.com/search/?query=DAVIDOFF+ECHO,CP00802,review,medium,
100,CP02314,DIESEL,BAD DIESEL,https://www.fragrantica.com/search/?query=DIESEL+BAD+DIESEL,CP02314,review,medium,
101,CP02465,DIESEL,D RED BY DIESEL,https://www.fragrantica.com/search/?query=DIESEL+D+RED+BY+DIESEL,CP02465,review,low,
102,CP01404,DIESEL,FUEL FOR LIFE HOMME,https://www.fragrantica.com/search/?query=DIESEL+FUEL+FOR+LIFE+HOMME,CP01404,review,medium,
103,CP02366,DIESEL,PLUS PLUS MASCULINE,https://www.fragrantica.com/search/?query=DIESEL+PLUS+PLUS+MASCULINE,CP02366,review,medium,
104,CP02289,DIOR,DIOR HOMME INTENSE 2011,https://www.fragrantica.com/search/?query=DIOR+DIOR+HOMME+INTENSE+2011,CP02289,review,medium,
105,CP02520,DIOR,DIOR HOMME PARFUM,https://www.fragrantica.com/search/?query=DIOR+DIOR+HOMME+PARFUM,CP02520,review,medium,
106,CP01005,DIOR,DIOR HOMME SPORT 2012,https://www.fragrantica.com/search/?query=DIOR+DIOR+HOMME+SPORT+2012,CP01005,review,medium,
107,CP02408,DIOR,DIOR HOMME SPORT 2017,https://www.fragrantica.com/search/?query=DIOR+DIOR+HOMME+SPORT+2017,CP02408,review,medium,
108,CP00815,DIOR,FAHRENHEIT,https://www.fragrantica.com/search/?query=DIOR+FAHRENHEIT,CP00815,review,medium,
109,CP02158,DIOR,SAUVAGE,https://www.fragrantica.com/search/?query=DIOR+SAUVAGE,CP02158,review,medium,
110,CP02341,DIOR,SAUVAGE ELIXIR,https://www.fragrantica.com/search/?query=DIOR+SAUVAGE+ELIXIR,CP02341,review,medium,
111,CP00795,DOLCE & GABBANA,DOLCE&GABBANA POUR HOMME (2012),https://www.fragrantica.com/search/?query=DOLCE+%26+GABBANA+DOLCE%26GABBANA+POUR+HOMME+%282012%29,CP00795,review,medium,
112,CP02328,DOLCE & GABBANA,K BY DOLCE & GABBANA,https://www.fragrantica.com/search/?query=DOLCE+%26+GABBANA+K+BY+DOLCE+%26+GABBANA,CP02328,review,medium,
113,CP00881,DOLCE & GABBANA,LIGHT BLUE POUR HOMME,https://www.fragrantica.com/search/?query=DOLCE+%26+GABBANA+LIGHT+BLUE+POUR+HOMME,CP00881,review,medium,
114,CP01031,DOLCE & GABBANA,THE ONE FOR MEN,https://www.fragrantica.com/search/?query=DOLCE+%26+GABBANA+THE+ONE+FOR+MEN,CP01031,review,medium,
115,CP02378,DOLCE & GABBANA,THE ONE GOLD FOR MEN,https://www.fragrantica.com/search/?query=DOLCE+%26+GABBANA+THE+ONE+GOLD+FOR+MEN,CP02378,review,medium,
116,CP02113,DOLCE & GABBANA,THE ONE SPORT,https://www.fragrantica.com/search/?query=DOLCE+%26+GABBANA+THE+ONE+SPORT,CP02113,review,medium,
117,CP01020,ED HARDY,ED HARDY LOVE & LUCK FOR MEN,https://www.fragrantica.com/search/?query=ED+HARDY+ED+HARDY+LOVE+%26+LUCK+FOR+MEN,CP01020,review,medium,
118,CP00966,EMANUEL UNGARO,UNGARO FOR HIM,https://www.fragrantica.com/search/?query=EMANUEL+UNGARO+UNGARO+FOR+HIM,CP00966,review,low,
119,CP00809,ENGLISH LEATHER,ENGLISH LEATHER,https://www.fragrantica.com/search/?query=ENGLISH+LEATHER+ENGLISH+LEATHER,CP00809,review,medium,
120,CP02149,ENRIQUE IGLESIAS,ADRENALINE,https://www.fragrantica.com/search/?query=ENRIQUE+IGLESIAS+ADRENALINE,CP02149,review,medium,
121,CP00985,ERMENEGILDO ZEGNA,Z ZEGNA,https://www.fragrantica.com/search/?query=ERMENEGILDO+ZEGNA+Z+ZEGNA,CP00985,review,medium,
122,CP00817,FERRARI,FERRARI BLACK,https://www.fragrantica.com/search/?query=FERRARI+FERRARI+BLACK,CP00817,review,medium,
123,CP02214,FERRARI,FERRARI YELLOW,https://www.fragrantica.com/search/?query=FERRARI+FERRARI+YELLOW,CP02214,review,low,Ferrari Yellow requiere cotejo visual y por clave por registros públicos limitados.
124,CP02155,FERRARI,SCUDERIA FERRARI RED,https://www.fragrantica.com/search/?query=FERRARI+SCUDERIA+FERRARI+RED,CP02155,review,medium,
125,CP02449,FREDERIC MALLE,UNCUT GEM,https://www.fragrantica.com/search/?query=FREDERIC+MALLE+UNCUT+GEM,CP02449,review,medium,
126,CP02409,GIVENCHY,GENTLEMAN (2017),https://www.fragrantica.com/search/?query=GIVENCHY+GENTLEMAN+%282017%29,CP02409,review,medium,
127,CP02419,GIVENCHY,GENTLEMAN SOCIETY,https://www.fragrantica.com/search/?query=GIVENCHY+GENTLEMAN+SOCIETY,CP02419,review,medium,
128,CP01087,GIVENCHY,GENTLEMEN ONLY,https://www.fragrantica.com/search/?query=GIVENCHY+GENTLEMEN+ONLY,CP01087,review,medium,
129,CP00748,GIVENCHY,GIVENCHY POUR HOMME,https://www.fragrantica.com/search/?query=GIVENCHY+GIVENCHY+POUR+HOMME,CP00748,review,medium,
130,CP00967,GIVENCHY,VERY IRRESISTIBLE FOR MEN,https://www.fragrantica.com/search/?query=GIVENCHY+VERY+IRRESISTIBLE+FOR+MEN,CP00967,review,medium,
131,CP02150,GUCCI,GUCCI GUILTY BLACK POUR HOMME,https://www.fragrantica.com/search/?query=GUCCI+GUCCI+GUILTY+BLACK+POUR+HOMME,CP02150,review,medium,
132,CP01055,GUCCI,GUCCI GUILTY POUR HOMME PARFUM,https://www.fragrantica.com/search/?query=GUCCI+GUCCI+GUILTY+POUR+HOMME+PARFUM,CP01055,review,medium,
133,CP02445,GUCCI,GUILTY ELIXIR DE PARFUM POUR HOMME,https://www.fragrantica.com/search/?query=GUCCI+GUILTY+ELIXIR+DE+PARFUM+POUR+HOMME,CP02445,review,medium,
134,CP00974,GUERLAIN,VETIVER,https://www.fragrantica.com/search/?query=GUERLAIN+VETIVER,CP00974,review,medium,
135,CP00796,GUY LAROCHE,DRAKKAR NOIR,https://www.fragrantica.com/search/?query=GUY+LAROCHE+DRAKKAR+NOIR,CP00796,review,medium,
136,CP01079,HALLOWEEN,HALLOWEEN MAN,https://www.fragrantica.com/search/?query=HALLOWEEN+HALLOWEEN+MAN,CP01079,review,medium,
137,CP02120,HALLOWEEN,HALLOWEEN MAN ROCK ON,https://www.fragrantica.com/search/?query=HALLOWEEN+HALLOWEEN+MAN+ROCK+ON,CP02120,review,medium,
138,CP02264,HALLOWEEN,HALLOWEEN MAN X,https://www.fragrantica.com/search/?query=HALLOWEEN+HALLOWEEN+MAN+X,CP02264,review,medium,
139,CP00839,HALSTON,HALSTON Z-14,https://www.fragrantica.com/search/?query=HALSTON+HALSTON+Z-14,CP00839,review,medium,
140,CP02396,HERMES,H24,https://www.fragrantica.com/search/?query=HERMES+H24,CP02396,review,medium,
141,CP02226,HERMES,TERRE D'HERMÈS,https://www.fragrantica.com/search/?query=HERMES+TERRE+D%27HERM%C3%88S,CP02226,review,medium,
142,CP01407,HOLLISTER,JAKE,https://www.fragrantica.com/search/?query=HOLLISTER+JAKE,CP01407,review,low,Jake de Hollister tiene información pública fragmentada; cotejar botella y clave antes de verificar.
143,CP02279,HUGO BOSS,BOSS BOTTLED ABSOLUTE,https://www.fragrantica.com/search/?query=HUGO+BOSS+BOSS+BOTTLED+ABSOLUTE,CP02279,review,medium,
144,CP02440,HUGO BOSS,BOSS BOTTLED ELIXIR,https://www.fragrantica.com/search/?query=HUGO+BOSS+BOSS+BOTTLED+ELIXIR,CP02440,review,medium,
145,CP02268,HUGO BOSS,BOSS BOTTLED INFINITE,https://www.fragrantica.com/search/?query=HUGO+BOSS+BOSS+BOTTLED+INFINITE,CP02268,review,medium,
146,CP02129,HUGO BOSS,BOSS BOTTLED INTENSE,https://www.fragrantica.com/search/?query=HUGO+BOSS+BOSS+BOTTLED+INTENSE,CP02129,review,medium,
147,CP02380,HUGO BOSS,BOSS BOTTLED MARINE,https://www.fragrantica.com/search/?query=HUGO+BOSS+BOSS+BOTTLED+MARINE,CP02380,review,medium,
148,CP01045,HUGO BOSS,BOSS BOTTLED NIGHT,https://www.fragrantica.com/search/?query=HUGO+BOSS+BOSS+BOTTLED+NIGHT,CP01045,review,medium,
149,CP02203,HUGO BOSS,BOSS BOTTLED TONIC,https://www.fragrantica.com/search/?query=HUGO+BOSS+BOSS+BOTTLED+TONIC,CP02203,review,medium,
150,CP02340,HUGO BOSS,BOSS BOTTLED UNITED EAU DE PARFUM,https://www.fragrantica.com/search/?query=HUGO+BOSS+BOSS+BOTTLED+UNITED+EAU+DE+PARFUM,CP02340,review,low,Conservar en review para confirmar que la clave corresponde a United Eau de Parfum y no a la EDT previa.
